Incident Date,State,City Or County,Address,# Killed,# Injured,Operations,loss
28-Jan-18,Pennsylvania,Melcroft,1301 Indian Creek Valley Rd,5,0,N/A,5
28-Jan-18,Pennsylvania,Reading,123 S 3rd St,4,0,N/A,4
28-Jan-18,Indiana,Indianapolis,1313 N Sherman Dr,2,3,N/A,5
27-Jan-18,California,Los Angeles,243 East 119th St,0,5,N/A,5
27-Jan-18,Kentucky,Bowling Green,645 Pearl Street,0,4,N/A,4
25-Jan-18,District of Columbia,Washington,1600 block of Kenilworth Ave NE,0,4,N/A,4
23-Jan-18,Pennsylvania,Philadelphia,N 24th St and Ridge Ave,0,4,N/A,4
23-Jan-18,Kentucky,Benton,416 High School Road,2,14,N/A,16
21-Jan-18,Florida,Orlando,3101 Willow Bend Blvd,0,4,N/A,4
21-Jan-18,Illinois,Chicago,3200 W Division St,0,4,N/A,4
17-Jan-18,District of Columbia,Washington,2000 block of 16th St SE,1,3,N/A,4
16-Jan-18,South Carolina,York,3042 Farrier Lane,1,4,N/A,5
15-Jan-18,Florida,Alachua,14223 NW 156th Pl,0,5,N/A,5
14-Jan-18,Alabama,Eutaw,809 Mesopotamia St,1,4,N/A,5
14-Jan-18,Alabama,Madison,101 Westchester Dr,0,4,N/A,4
12-Jan-18,Tennessee,Nashville,2614 Jenkins Ct,3,2,N/A,5
11-Jan-18,Missouri,Saint Robert (St Robert),St Robert Outer Road and Houston Road,2,2,N/A,4
7-Jan-18,Alabama,Union Springs,U.S. Highway 29,1,5,N/A,6
7-Jan-18,Florida,Plantation,5225 W Broward Blvd,0,4,N/A,4
5-Jan-18,Mississippi,Hattiesburg,6168 US 49,0,6,N/A,6
4-Jan-18,Arkansas,Brinkley,615 W 6th St,1,3,N/A,4
1-Jan-18,Alabama,Huntsville,2025 Sparkman Dr NW,1,3,N/A,4
31-Dec-17,Colorado,Littleton (Highlands Ranch),3404 E County Line Rd,2,6,N/A,8
31-Dec-17,Illinois,Chicago,2335 Howard St,0,4,N/A,4
31-Dec-17,New Jersey,Long Branch,635 Wall St,4,0,N/A,4
27-Dec-17,Nevada,Las Vegas,3750 E Bonanza Rd,2,2,N/A,4
26-Dec-17,Florida,Miami,NW 18th Ave and 86th Ter,0,5,N/A,5
24-Dec-17,Mississippi,Vicksburg,1111 Mulberry Street,0,5,N/A,5
24-Dec-17,Alabama,Troy,100 block of Chapman St,1,4,N/A,5
23-Dec-17,Louisiana,Eunice,100 block of City Avenue,1,3,N/A,4
23-Dec-17,Alabama,Birmingham,3rd Ave N and 9th St N,0,4,N/A,4
21-Dec-17,Louisiana,Lafayette,1500 block of N University Avenue,0,4,N/A,4
21-Dec-17,Pennsylvania,Philadelphia,6600 block of Dorel St,1,3,N/A,4
16-Dec-17,Mississippi,Mc Cool (Mccool),Ferguson Rd,0,4,N/A,4
15-Dec-17,California,Pacoima,13041 Jouett Street,0,5,N/A,5
13-Dec-17,Ohio,Columbus,200 block of E Barthman Ave,1,3,N/A,4
12-Dec-17,Kentucky,Louisville,17th and Gallagher Streets,0,4,N/A,4
12-Dec-17,Texas,Garland,1301 Rivercrest Ln,0,4,N/A,4
9-Dec-17,Massachusetts,Boston,Proctor St,0,4,N/A,4
6-Dec-17,Illinois,Chicago,4620 N Broadway,0,4,N/A,4
4-Dec-17,Pennsylvania,Pittsburgh,7200 block of Everton St,2,2,N/A,4
3-Dec-17,Tennessee,Memphis,656 Marshall Ave,1,3,N/A,4
2-Dec-17,Michigan,Detroit,5200 Woodward Avenue,0,4,N/A,4
30-Nov-17,Michigan,Detroit,11000 block of Gunston,1,4,N/A,5
24-Nov-17,Ohio,Cleveland,11618 Buckeye Rd,1,5,N/A,6
24-Nov-17,Mississippi,Brookhaven,119 Martin Street,1,6,N/A,7
18-Nov-17,Minnesota,Minneapolis,3600 block of Emerson Avenue North,0,4,N/A,4
17-Nov-17,Louisiana,New Iberia,900 Block of Mississippi St,0,4,N/A,4
16-Nov-17,Georgia,Columbus,1400 block of 15th Street,0,7,N/A,7
14-Nov-17,California,Corning,17357 Stagecoach Rd,6,12,N/A,18
14-Nov-17,California,Richmond,900 Block of View Dr,2,2,N/A,4
12-Nov-17,Indiana,Gary,4601 Melton Rd,0,7,N/A,7
12-Nov-17,California,Fresno,S Calvin Ave,0,5,N/A,5
12-Nov-17,Georgia,Atlanta,50 Lower Alabama St,2,2,N/A,4
11-Nov-17,Texas,Dallas,2532 Martin Luther King Jr Blvd,1,3,N/A,4
11-Nov-17,Louisiana,New Orleans,Forstall Street and Burgundy Street,1,5,N/A,6
